time,open,high,low,close,volume
2019-12-16 20:00:00,60.72,60.76,60.72,60.76,750
2019-12-16 19:59:00,60.68,60.68,60.68,60.68,50
2019-12-16 19:57:00,60.8,60.8,60.8,60.8,251
2019-12-16 19:54:00,60.8,60.8,60.8,60.8,50
2019-12-16 19:49:00,60.72,60.72,60.64,60.64,637
2019-12-16 19:48:00,60.76,60.76,60.72,60.72,100
2019-12-16 19:47:00,60.72,60.72,60.72,60.72,75
2019-12-16 19:43:00,60.76,60.76,60.76,60.76,42
2019-12-16 19:41:00,60.76,60.76,60.76,60.76,506
2019-12-16 19:40:00,60.72,60.72,60.68,60.68,500
2019-12-16 19:33:00,60.8,60.8,60.8,60.8,50
2019-12-16 19:29:00,60.8,60.8,60.8,60.8,857
2019-12-16 19:28:00,60.72,60.72,60.72,60.72,25
2019-12-16 19:27:00,60.64,60.72,60.64,60.72,520
2019-12-16 19:26:00,60.68,60.68,60.68,60.68,75
2019-12-16 19:24:00,60.64,60.64,60.64,60.64,75
2019-12-16 19:20:00,60.66,60.66,60.66,60.66,177
2019-12-16 19:15:00,60.68,60.68,60.68,60.68,525
2019-12-16 19:05:00,60.6,60.6,60.6,60.6,899
2019-12-16 19:04:00,60.6,60.6,60.6,60.6,250
2019-12-16 18:59:00,60.6,60.6,60.6,60.6,25
2019-12-16 18:58:00,60.64,60.64,60.64,60.64,125
2019-12-16 18:57:00,60.6,60.6,60.6,60.6,180
2019-12-16 18:52:00,60.6,60.6,60.6,60.6,75
2019-12-16 18:46:00,60.52,60.52,60.52,60.52,527
2019-12-16 18:33:00,60.48,60.52,60.48,60.52,375
2019-12-16 18:31:00,60.44,60.44,60.44,60.44,75
2019-12-16 18:29:00,60.48,60.48,60.48,60.48,722
2019-12-16 18:24:00,60.4,60.4,60.4,60.4,175
2019-12-16 18:15:00,60.4,60.4,60.4,60.4,250
2019-12-16 18:10:00,60.48,60.48,60.48,60.48,25
2019-12-16 18:08:00,60.4,60.4,60.4,60.4,400
2019-12-16 18:07:00,60.44,60.44,60.32,60.4,751
2019-12-16 18:06:00,60.44,60.44,60.44,60.44,50
2019-12-16 18:03:00,60.4,60.4,60.4,60.4,250
2019-12-16 18:02:00,60.44,60.44,60.44,60.44,312
2019-12-16 18:01:00,60.4,60.44,60.4,60.44,700
2019-12-16 17:54:00,60.36,60.36,60.36,60.36,25
2019-12-16 17:43:00,60.36,60.44,60.36,60.44,739
2019-12-16 17:30:00,60.36,60.4,60.36,60.4,224
2019-12-16 17:28:00,60.32,60.36,60.32,60.36,780
2019-12-16 17:27:00,60.32,60.32,60.32,60.32,520
2019-12-16 17:24:00,60.32,60.36,60.28,60.36,750
2019-12-16 17:14:00,60.32,60.32,60.32,60.32,52
2019-12-16 17:13:00,60.4,60.4,60.4,60.4,500
2019-12-16 17:12:00,60.4,60.4,60.4,60.4,25
2019-12-16 17:09:00,60.4,60.4,60.4,60.4,75
2019-12-16 17:07:00,60.36,60.36,60.36,60.36,25
2019-12-16 17:03:00,60.48,60.48,60.48,60.48,38
2019-12-16 17:02:00,60.4,60.4,60.4,60.4,252
2019-12-16 17:01:00,60.32,60.32,60.32,60.32,500
2019-12-16 16:59:00,60.32,60.4,60.32,60.4,1824
2019-12-16 16:58:00,60.24,60.32,60.2,60.28,5930
2019-12-16 16:57:00,60.24,60.28,60.24,60.24,2003
2019-12-16 16:56:00,60.28,60.28,60.28,60.28,875
2019-12-16 16:55:00,60.28,60.28,60.28,60.28,362
2019-12-16 16:54:00,60.28,60.28,60.28,60.28,506
2019-12-16 16:50:00,60.28,60.28,60.28,60.28,124
2019-12-16 16:49:00,60.28,60.28,60.28,60.28,125
2019-12-16 16:48:00,60.24,60.28,60.24,60.28,483
2019-12-16 16:47:00,60.28,60.28,60.28,60.28,25
2019-12-16 16:46:00,60.28,60.28,60.28,60.28,244
2019-12-16 16:45:00,60.2,60.28,60.16,60.2,19098
2019-12-16 16:44:00,60.28,60.28,60.2,60.24,8781
2019-12-16 16:42:00,60.28,60.28,60.28,60.28,51
2019-12-16 16:40:00,60.28,60.28,60.28,60.28,42
2019-12-16 16:39:00,60.28,60.28,60.28,60.28,375
2019-12-16 16:38:00,60.28,60.28,60.28,60.28,652
2019-12-16 16:37:00,60.24,60.24,60.24,60.24,500
2019-12-16 16:36:00,60.24,60.24,60.2,60.2,2526
2019-12-16 16:35:00,60.32,60.32,60.24,60.28,2575
