Ticker,Weekday,Hour,Minute,ROC Score,TP,FP,TN,FN,Strat Return,Passive Return
DIA,0,9,30,0.375,0,1,3,6,-0.00061,0.00066
DIA,1,9,30,0.5,0,0,4,6,0,0.00025
DIA,2,9,30,0.625,3,2,2,1,0.0001,-0.00023
DIA,3,9,30,0.25,0,3,3,3,-0.00188,-0.00024
DIA,4,9,30,0.6,2,1,4,3,0.0009,0.00015
DIA,0,10,0,0.5,2,2,3,3,0.00012,-0.00018
DIA,1,10,0,0.583,2,2,4,2,0.00034,0.00015
DIA,2,10,0,0.367,2,2,1,3,-0.00015,0.00003
DIA,3,10,0,0.5,2,4,2,1,0,-0.00015
DIA,4,10,0,0.292,2,3,1,4,-0.00009,0.00072
DIA,0,10,30,0.7,4,2,3,1,0.0002,0.00013
DIA,1,10,30,0.69,2,2,5,1,-0.00045,-0.00044
DIA,2,10,30,0.167,0,4,2,2,-0.00078,-0.00043
DIA,3,10,30,0.775,4,1,3,1,0.00123,0.00072
DIA,4,10,30,0.417,2,4,2,2,-0.00085,-0.00049
DIA,0,11,0,0.5,3,3,2,2,0.00189,0.00125
DIA,1,11,0,0.55,2,2,3,2,-0.00138,-0.00023
DIA,2,11,0,0.567,4,2,1,1,0.00128,-0.00057
DIA,3,11,0,0.4,4,4,0,1,0.00185,0.00302
DIA,4,11,0,0.452,4,2,1,3,0.00205,0.00151
DIA,0,11,30,0.476,2,1,2,5,0.00175,0.00128
DIA,1,11,30,0.75,1,4,4,0,-0.00237,-0.0021
DIA,2,11,30,0.25,2,4,0,2,-0.00043,0.00047
DIA,3,11,30,0.25,1,5,1,2,-0.00126,-0.00067
DIA,4,11,30,0.375,2,1,1,6,0.00115,0.00166
DIA,0,12,0,0.3,2,4,1,3,0.00009,0.00055
DIA,1,12,0,0.643,2,5,2,0,-0.00019,-0.00061
DIA,2,12,0,0.2,2,3,0,3,-0.00056,0.00014
DIA,3,12,0,0.333,1,4,2,2,-0.00178,-0.00123
DIA,4,12,0,0.452,1,3,4,2,-0.00032,-0.00091
DIA,0,12,30,0.4,2,3,2,3,-0.00049,-0.00042
DIA,1,12,30,0.857,5,0,2,2,0.0008,0.00045
DIA,2,12,30,0.367,1,3,2,2,-0.00067,-0.00024
DIA,3,12,30,0.45,2,3,2,2,0.0003,-0.00036
DIA,4,12,30,0.417,2,2,2,4,-0.00058,-0.00022
DIA,0,13,0,0.548,3,1,2,4,-0.00026,0.00033
DIA,1,13,0,0.225,1,4,1,3,-0.0012,-0.00071
DIA,2,13,0,0.267,1,4,1,2,-0.00038,-0.00012
DIA,3,13,0,0.917,3,1,5,0,0.0007,-0.00023
DIA,4,13,0,0.5,1,4,4,1,-0.00081,-0.00052
DIA,0,13,30,0.4,2,3,2,3,-0.0014,-0.00079
DIA,1,13,30,0.536,4,1,1,3,0.00136,0.00096
DIA,2,13,30,0.5,1,3,3,1,-0.00085,-0.00077
DIA,3,13,30,0.375,6,1,0,2,0.00102,0.00114
DIA,4,13,30,0.6,3,2,3,2,-0.0002,0.00006
DIA,0,14,0,0.2,0,3,2,5,-0.00253,-0.00052
DIA,1,14,0,0.5,2,1,2,4,0.00014,0.00005
DIA,2,14,0,0.5,3,1,1,3,0.00038,0.00043
DIA,3,14,0,0.607,1,2,5,1,0.00006,-0.00024
DIA,4,14,0,0.7,2,0,5,3,0.00093,-0.00006
DIA,0,14,30,0.7,3,1,4,2,0.00012,-0.00044
DIA,1,14,30,0.393,2,1,1,5,-0.00001,0.00045
DIA,2,14,30,0.667,1,1,5,1,-0.00006,-0.00051
DIA,3,14,30,0.357,0,2,5,2,-0.00102,-0.00047
DIA,4,14,30,0.792,5,1,3,1,0.00032,0.00009
DIA,0,15,0,0.333,1,2,2,5,-0.00156,-0.00063
DIA,1,15,0,0.5,0,0,5,4,0,-0.00008
DIA,2,15,0,0.75,3,1,3,1,0.00076,0.00007
DIA,3,15,0,0.35,1,2,2,4,-0.00054,-0.00001
DIA,4,15,0,0.5,0,0,4,6,0,0.00006
DIA,0,15,30,0.75,4,0,2,4,0.00142,0.00076
DIA,1,15,30,0.675,3,1,3,2,0.0002,0.00005
DIA,2,15,30,0.083,1,2,0,5,0.00012,0.00026
DIA,3,15,30,0.667,2,0,3,4,0.00044,0.00025
DIA,4,15,30,0.5,2,2,3,3,-0.00008,0.00031
AGG,0,9,30,0.5,1,1,4,4,-0.00005,0.00009
AGG,1,9,30,0.5,0,0,6,4,0,-0.00006
AGG,2,9,30,0.25,0,1,1,6,0,0.00012
AGG,3,9,30,0.417,1,3,3,2,-0.00009,-0.00003
AGG,4,9,30,0.542,1,1,5,3,-0.00002,-0.00009
AGG,0,10,0,0.5,1,1,4,4,-0.00005,-0.00011
AGG,1,10,0,0.333,0,2,4,4,-0.00016,-0.00001
AGG,2,10,0,0.375,0,1,3,4,-0.00092,-0.00015
AGG,3,10,0,0.225,1,3,1,4,-0.00009,0.00003
AGG,4,10,0,0.5,1,1,4,4,-0.00017,0.00003
AGG,0,10,30,0.3,2,4,1,3,-0.00001,0.00007
AGG,1,10,30,0.583,4,2,2,2,0.00011,0.00016
AGG,2,10,30,0.833,2,2,4,0,-0.00003,-0.0001
AGG,3,10,30,0.2,2,4,0,3,-0.00007,0.00002
AGG,4,10,30,0.714,3,4,3,0,0.00003,-0.00002
AGG,0,11,0,0.375,0,2,6,2,-0.00081,-0.00096
AGG,1,11,0,0.667,1,0,6,2,0.00146,-0.00099
AGG,2,11,0,0.333,1,1,1,5,0.00036,0.00075
AGG,3,11,0,0.333,2,2,1,4,0.00019,0.00018
AGG,4,11,0,0.5,4,4,1,1,0.00014,0.00002
AGG,0,11,30,0.381,3,2,1,4,0.00008,0.00006
AGG,1,11,30,0.45,2,2,2,3,-0.0001,0
AGG,2,11,30,0.7,2,0,3,3,0.00052,0.00016
AGG,3,11,30,0.688,1,5,3,0,-0.00014,-0.00042
AGG,4,11,30,0.8,3,0,5,2,0.00026,-0.00013
AGG,0,12,0,0.375,2,1,1,6,0.00008,0.00033
AGG,1,12,0,0.833,2,0,6,1,0.00043,-0.00002
AGG,2,12,0,0.5,3,1,1,3,0.00006,0.0001
AGG,3,12,0,0.667,4,1,2,2,0.0003,0.00025
AGG,4,12,0,0.6,2,1,4,3,0.0003,0.00008
AGG,0,12,30,0.333,0,2,4,4,-0.00034,-0.0001
AGG,1,12,30,0.225,1,4,1,3,-0.00011,-0.00001
AGG,2,12,30,0.633,3,1,2,2,-0.00002,0
AGG,3,12,30,0.417,3,2,1,3,-0.00002,-0.00001
AGG,4,12,30,0.208,1,3,1,5,-0.00003,0.00015
AGG,0,13,0,0.667,2,1,5,2,-0.00006,-0.00009
AGG,1,13,0,0.375,0,2,6,1,-0.00011,-0.0001
AGG,2,13,0,0.375,1,2,2,3,-0.00029,0.00001
AGG,3,13,0,0.45,2,2,2,3,0.00008,0.0001
AGG,4,13,0,0.5,2,3,3,2,-0.00019,-0.00018
AGG,0,13,30,0.458,1,2,4,3,0.00014,0.00008
AGG,1,13,30,0.475,1,1,3,4,0.00002,0.00005
AGG,2,13,30,0.367,2,2,1,3,0,0.00007
AGG,3,13,30,0.225,1,3,1,4,-0.0003,0.00008
AGG,4,13,30,0.3,1,3,2,4,0.00002,0.00008
AGG,0,14,0,0.458,1,1,3,5,0.00015,0.00002
AGG,1,14,0,0.475,1,1,3,4,0.00018,0.00002
AGG,2,14,0,0.5,1,1,3,3,0.00011,-0.00005
AGG,3,14,0,0.575,2,1,3,3,0,-0.00001
AGG,4,14,0,0.4,1,2,3,4,-0.00006,-0.00004
AGG,0,14,30,0.405,1,1,2,6,-0.00006,0.00012
AGG,1,14,30,0.7,2,0,4,3,0.00015,0.00004
AGG,2,14,30,0.367,2,2,1,3,0.00003,0.00006
AGG,3,14,30,0.475,1,1,3,4,0.00011,0.00005
AGG,4,14,30,0.375,0,1,3,6,-0.00048,-0.00006
AGG,0,15,0,0.625,2,0,2,6,0.00002,0.00011
AGG,1,15,0,0.575,2,1,3,3,0.00021,0.00005
AGG,2,15,0,0.417,2,1,1,4,0.00036,0.00021
AGG,3,15,0,0.525,1,1,4,3,0.00025,0.00006
AGG,4,15,0,0.417,0,1,5,4,-0.00024,-0.00012
AGG,0,15,30,0.542,2,1,3,4,0.00002,0.00011
AGG,1,15,30,0.525,1,1,4,3,0.00008,0.00001
AGG,2,15,30,0.5,2,2,2,2,-0.00005,0.00001
AGG,3,15,30,0.667,2,2,4,1,0.00005,-0.0001
AGG,4,15,30,0.542,1,1,5,3,0.00009,-0.00004
AMLP,0,9,30,0.313,0,3,5,2,-0.00094,-0.00035
AMLP,1,9,30,0.5,0,0,2,8,0,0.00066
AMLP,2,9,30,0.583,1,2,4,1,-0.00066,-0.00105
AMLP,3,9,30,0.5,0,0,5,4,0,-0.00177
AMLP,4,9,30,0.75,4,0,2,4,0.0021,0.00102
AMLP,0,10,0,0.6,1,0,5,4,0.0003,-0.00008
AMLP,1,10,0,0.405,1,1,2,6,0.00233,0.00122
AMLP,2,10,0,0.3,0,2,3,3,-0.00201,-0.00077
AMLP,3,10,0,0.286,0,3,4,2,-0.00145,-0.00087
AMLP,4,10,0,0.375,0,1,3,6,-0.00285,0.00012
AMLP,0,10,30,0.6,1,0,5,4,0.0013,-0.00016
AMLP,1,10,30,0.75,1,0,8,1,0.00208,-0.00026
AMLP,2,10,30,0.4,0,1,4,3,-0.00315,-0.00063
AMLP,3,10,30,0.5,0,0,4,5,0,0.00083
AMLP,4,10,30,0.5,0,0,6,4,0,-0.00065
AMLP,0,11,0,0.375,0,1,3,6,-0.00149,0.00282
AMLP,1,11,0,0.25,0,2,2,5,-0.00759,0.00223
AMLP,2,11,0,0.6,1,0,3,4,0.00613,-0.00071
AMLP,3,11,0,0.321,1,1,1,6,0.00345,0.00533
AMLP,4,11,0,0.25,0,1,1,8,-0.00864,0.00662
AMLP,0,11,30,0.643,2,0,3,5,0.00179,0.00202
AMLP,1,11,30,0.714,2,4,3,0,-0.00384,-0.00364
