Ticker,First Date,Last Date
AGG,2019-11-18,2021-11-05
AMLP,2019-11-18,2021-11-05
BND,2019-11-18,2021-11-05
DIA,2019-11-18,2021-11-05
EEM,2019-11-18,2021-11-05
EFA,2019-11-18,2021-11-05
EWJ,2019-11-18,2021-11-05
EWZ,2019-11-18,2021-11-05
FXI,2019-11-18,2021-11-05
GDX,2019-11-18,2021-11-05
GDXJ,2019-11-18,2021-11-05
GLD,2019-11-18,2021-11-05
HYG,2019-11-18,2021-11-05
IAU,2019-11-18,2021-11-05
IEFA,2019-11-18,2021-11-05
IEMG,2019-11-18,2021-11-05
IJR,2019-11-18,2021-11-05
IVV,2019-11-18,2021-11-05
IWM,2019-11-18,2021-11-05
IYR,2019-11-18,2021-11-05
JDST,2019-11-18,2021-11-05
KRE,2019-11-18,2021-11-05
LQD,2019-11-18,2021-11-05
NUGT,2019-11-18,2021-11-05
PFF,2019-11-18,2021-11-05
QQQ,2019-11-18,2021-11-05
SLV,2019-11-18,2021-11-05
SPXL,2019-11-18,2021-11-05
SPXU,2019-11-18,2021-11-05
SPY,2019-11-18,2021-11-05
SQQQ,2019-11-18,2021-11-05
TLT,2019-11-18,2021-11-05
TQQQ,2019-11-18,2021-11-05
TZA,2019-11-18,2021-11-05
UNG,2019-11-18,2021-11-05
UPRO,2019-11-18,2021-11-05
USO,2019-11-18,2021-11-05
UVXY,2019-11-18,2021-11-05
VEA,2019-11-18,2021-11-05
VNQ,2019-11-18,2021-11-05
VTI,2019-11-18,2021-11-05
VWO,2019-11-18,2021-11-05
VXX,2019-11-18,2021-11-05
XLB,2019-11-18,2021-11-05
XLC,2019-11-18,2021-11-05
XLE,2019-11-18,2021-11-05
XLF,2019-11-18,2021-11-05
XLK,2019-11-18,2021-11-05
XLP,2019-11-18,2021-11-05
XLU,2019-11-18,2021-11-05
XLV,2019-11-18,2021-11-05
XLY,2019-11-18,2021-11-05
XOP,2019-11-18,2021-11-05
XRT,2019-11-18,2021-11-05
